상호명,메뉴,전화번호,비고,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
대훈생고기,소고기구이,031-214-9181,경기 수원시 영통구 센트럴파크로127번길 26 1층,경기 수원시 영통구 센트럴파크로127번길 26 1층,127.0548265,37.2951472,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 26,경기도 수원시 영통구 이의동 1306-17,16506,4111760000,광교1동,4111710300,이의동
소문난떡볶이,떡볶이,0507-1449-6161,경기 수원시 영통구 센트럴타운로 103 W타워 111호,경기 수원시 영통구 센트럴타운로 103 W타워 111호,127.0496647,37.2921504,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 103,경기도 수원시 영통구 이의동 1330-1,16507,4111760000,광교1동,4111710300,이의동
다운타우너,햄버거,0507-1421-7981,경기 수원시 영통구 광교중앙로 124 9층,경기 수원시 영통구 광교중앙로 124 9층,127.0572728,37.2852999,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 124,경기도 수원시 영통구 하동 871-1,16514,4111761000,광교2동,4111710400,하동
신복관,"우삼겹, 쭈꾸미",031-214-9076,경기 수원시 영통구 센트럴타운로 107 광교푸르지오 월드스퀘어,경기 수원시 영통구 센트럴타운로 107 광교푸르지오 월드스퀘어,127.0484038,37.291969,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 107,경기도 수원시 영통구 이의동 1331,16507,4111760000,광교1동,4111710300,이의동
바나나테이블 광교점,"태국음식(푸팟퐁커리, 똠얌꿍 등)",031-215-0008,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
백채김치찌개 광교중앙역점,"돼지김치찌개, 부대김치찌개",031-212-6581,경기 수원시 영통구 센트럴타운로 106,경기 수원시 영통구 센트럴타운로 106,127.0501535,37.29274,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 106,경기도 수원시 영통구 이의동 1322-5,16506,4111760000,광교1동,4111710300,이의동
빌라드하노이,베트남음식,0507-1380-3843,경기 수원시 영통구 센트럴파크로127번길 141,경기 수원시 영통구 센트럴파크로127번길 141,127.055106,37.2944376,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 141,경기도 수원시 영통구 이의동 1318,16506,4111760000,광교1동,4111710300,이의동
거궁 광교점,한정식,031-215-4007,경기 수원시 영통구 광교중앙로 145,경기 수원시 영통구 광교중앙로 145,127.0577359,37.2870517,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 145,경기도 수원시 영통구 이의동 1336-1,16508,4111760000,광교1동,4111710300,이의동
티엔바오,"딤섬, 우육탕면, 새우완탕면",0507-1352-5735,경기 수원시 영통구 광교중앙로 170,경기 수원시 영통구 광교중앙로 170,127.0606888,37.2881024,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 170,경기도 수원시 영통구 하동 1016,16514,4111761000,광교2동,4111710400,하동
선비손칼국수 광교본점,"칼국수, 수제비",0507-1386-9972,경기 수원시 영통구 광교중앙로 180 제1동 105,경기 수원시 영통구 광교중앙로 180 제1동 105,127.0612336,37.2887285,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 180,경기도 수원시 영통구 하동 1015,16514,4111761000,광교2동,4111710400,하동
찌개지존 광교점,"김치찌개, 닭볶음탕",0507-1383-3631,경기 수원시 영통구 광교중앙로 170,경기 수원시 영통구 광교중앙로 170,127.0606888,37.2881024,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 170,경기도 수원시 영통구 하동 1016,16514,4111761000,광교2동,4111710400,하동
먹보한우,소고기구이,031-217-2713,경기 수원시 영통구 광교중앙로 145 엘포트몰,경기 수원시 영통구 광교중앙로 145 엘포트몰,127.0577359,37.2870517,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 145,경기도 수원시 영통구 이의동 1336-1,16508,4111760000,광교1동,4111710300,이의동
남도예찬,한정식,0507-1362-8576,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층 아띠존 C111,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 1층 아띠존 C111,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
오늘의초밥,초밥,0507-1404-9468,경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,127.0552302,37.2953307,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 18,경기도 수원시 영통구 이의동 1306-20,16506,4111760000,광교1동,4111710300,이의동
지아니스나폴리,"파스타, 피자",0507-1469-0420,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 1층,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 1층,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
오 이탈리안,"파스타, 피자",0507-1401-0109,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
삼백돈 돈가츠,돈가쓰,0507-1313-7149,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
후라토식당,"규카츠, 스테키",0507-1482-7090,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
카츠오모이,돈가스,0507-1352-6396,경기 수원시 영통구 광교호수공원로 277,경기 수원시 영통구 광교호수공원로 277,127.0575344,37.2824095,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교호수공원로 277,경기도 수원시 영통구 원천동 589,16517,4111755000,원천동,4111710200,원천동
도꼬돈부리,"돈부리, 돈가스",0507-1342-4525,경기 수원시 영통구 센트럴타운로 85,경기 수원시 영통구 센트럴타운로 85,127.0505974,37.290626,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 85,경기도 수원시 영통구 이의동 1332,16507,4111760000,광교1동,4111710300,이의동
반탄,"쌀국수, 팟타이 등",0507-1303-9422,경기 수원시 영통구 센트럴파크로127번길 74,경기 수원시 영통구 센트럴파크로127번길 74,127.0523646,37.2944968,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 74,경기도 수원시 영통구 이의동 1306-1,16506,4111760000,광교1동,4111710300,이의동
오와스시,"초밥, 롤",031-213-5551,월드스퀘어,월드스퀘어,123.7417741,32.5220203,정제실패,,판별불가,,,NULL,,,,
이여사나무김밥,김밥 등,031-214-2177,경기 수원시 영통구 에듀타운로 108 경동해피리움오피스텔 116호,경기 수원시 영통구 에듀타운로 108 경동해피리움오피스텔 116호,127.0454584,37.2903234,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 에듀타운로 108,경기도 수원시 영통구 이의동 1351,16509,4111760000,광교1동,4111710300,이의동
훗스테이크,"등심스테이크, 부채살스테이크",0507-1366-0256,아브뉴프랑,아브뉴프랑,123.7417741,32.5220203,정제실패,,판별불가,,,NULL,,,,
연안식당,"꼬막비빔밥, 해물뚝배기",031-211-0218,아브뉴프랑,아브뉴프랑,123.7417741,32.5220203,정제실패,,판별불가,,,NULL,,,,
한상차림 코다리명가,명태조림,031-211-0333,경기 수원시 영통구 센트럴파크로 6 힐스테이트 광교 상가 204호,경기 수원시 영통구 센트럴파크로 6 힐스테이트 광교 상가 204호,127.0647846,37.2852063,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로 6,경기도 수원시 영통구 하동 1021,16514,4111761000,광교2동,4111710400,하동
37.5,"브런치, 피자, 파스타 등",031-214-3705,경기 수원시 영통구 센트럴파크로 6 힐스테이트 광교 상가 204호,경기 수원시 영통구 센트럴파크로 6 힐스테이트 광교 상가 204호,127.0647846,37.2852063,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로 6,경기도 수원시 영통구 하동 1021,16514,4111761000,광교2동,4111710400,하동
더브라운,"브런치, 파스타, 오믈렛 등",0507-1301-1806,경기 수원시 영통구 광교중앙로 145 엘포트몰 지하1층,경기 수원시 영통구 광교중앙로 145 엘포트몰 지하1층,127.0577359,37.2870517,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 광교중앙로 145,경기도 수원시 영통구 이의동 1336-1,16508,4111760000,광교1동,4111710300,이의동
고양이부엌,"즉석떡볶이, 순대, 고구마맛탕 등",031-213-8876,경기 수원시 영통구 센트럴타운로 107 푸르지오월드스퀘어 1층64호,경기 수원시 영통구 센트럴타운로 107 푸르지오월드스퀘어 1층64호,127.0484038,37.291969,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴타운로 107,경기도 수원시 영통구 이의동 1331,16507,4111760000,광교1동,4111710300,이의동
미스터코다리,"매콤한 명태조림, 곤드레가마솥밥",031-216-7700,경기 수원시 영통구 센트럴파크로127번길 125-2,경기 수원시 영통구 센트럴파크로127번길 125-2,127.0542291,37.2942143,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 센트럴파크로127번길 125-2,경기도 수원시 영통구 이의동 1312-6,16506,4111760000,광교1동,4111710300,이의동
어반테라스 알찬밥상,육회비빔밥,031-8064-2035,경기 수원시 영통구 도청로 10,경기 수원시 영통구 도청로 10,127.0560665,37.2861733,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 도청로 10,경기도 수원시 영통구 이의동 1338,16508,4111760000,광교1동,4111710300,이의동
